Avg_Net_Price_Q,comp_rate_150,median_earnings_y6
Q3,0.4628,28128
Q4,0.8317,58330
Q3,0.906,56991
Q3,0.58,41416
Q2,0.5679,38321
Q4,0.7679,51590
Q4,0.6473,49115
Q3,0.6483,33225
Q4,0.5975,53700
Q4,0.7752,48422
Q1,0.531,28056
Q4,0.9375,31676
Q4,0.5313,45233
Q4,0.5309,53178
Q3,0.7829,44834
Q4,0.4434,44432
Q4,0.7028,66043
Q2,0.7434,25859
Q3,0.6388,43455
Q1,0.4082,43313
Q4,0.8474,55240
Q4,0.5798,37945
Q1,0.3731,35318
Q1,0.4817,38085
Q4,0.7286,65824
Q1,0.6175,32738
Q3,0.6049,51847
Q2,0.6267,54014
Q4,0.7122,41996
Q4,0.8778,60407
Q2,0.7736,42775
Q3,0.5,51768
Q2,0.4292,33665
Q4,0.5851,50574
Q3,0.5473,36659
Q2,0.6759,25950
Q2,0.4375,26042
Q4,0.8692,77899
Q3,0.5898,44538
Q4,0.7144,56507
Q4,0.8582,57648
Q3,0.6184,45058
Q3,0.7379,42664
Q1,0.5392,43222
Q4,0.7983,44894
Q3,0.5891,41805
Q3,0.6052,44267
Q4,0.7247,33991
Q4,0.8082,55708
Q4,0.8619,46423
Q2,0.7036,49105
Q4,0.7181,51635
Q4,0.6436,48321
Q2,0.5806,39809
Q1,0.4091,35581
Q2,0.429,37021
Q2,0.4321,36139
Q1,0.532,53647
Q2,0.3787,32462
Q2,0.65,48562
Q3,0.8172,56213
Q2,0.7511,51240
Q2,0.7628,51975
Q3,0.772,46306
Q1,0.536,46796
Q2,0.6581,41172
Q1,0.4041,38919
Q2,0.6731,47289
Q1,0.6245,40138
Q2,0.7813,47241
Q2,0.7586,43613
Q2,0.7561,45227
Q2,0.6483,42194
Q1,0.5037,36234
Q2,0.6129,36644
Q1,0.488,44425
Q2,0.6731,41913
Q2,0.7221,76793
Q4,0.8318,58773
Q1,0.1091,25518
Q3,0.6263,38853
Q2,0.2266,41780
Q4,0.8579,63542
Q1,0.8233,87884
Q3,0.5447,49297
Q4,0.8761,43438
Q1,0.2952,29697
Q4,0.7256,54531
Q2,0.5583,34802
Q1,0.5111,33538
Q4,0.768,56435
Q1,0.7269,38958
Q3,0.5189,37283
Q3,0.4605,36881
Q3,0.2909,27538
Q3,0.3899,33712
Q2,0.6522,50015
Q4,0.5557,39153
Q2,0.5552,36659
Q2,0.3126,28994
Q3,0.9303,51554
Q4,0.9552,77260
Q2,0.6521,41603
Q1,0.4314,30151
Q4,0.8277,49734
Q1,0.3632,31480
Q3,0.5607,37522
Q2,0.3352,35168
Q3,0.4872,37788
Q4,0.6888,46275
Q3,0.4373,29381
Q3,0.4352,33980
Q2,0.4538,37250
Q2,0.2781,24630
Q2,0.3481,33249
Q3,0.6369,39277
Q4,0.3916,35098
Q3,0.3398,34493
Q2,0.4561,38049
Q1,0.5208,32547
Q1,0.6242,33582
Q1,0.9074,51002
Q2,0.6518,42249
Q1,0.5868,36963
Q1,0.5168,31426
Q1,0.7215,33020
Q2,0.839,50971
Q2,0.3145,33842
Q2,0.7352,41448
Q4,0.3814,35274
Q1,0.4248,33721
Q4,0.43,38206
Q4,0.5749,40795
Q3,0.383,37422
Q2,0.191,26339
Q2,0.66,35551
Q3,0.187,25860
